step	btrunk	carotid	inflow	outflow	subclavian	
00000	0.000000	0.000000	0.000000	0.000000	0.000000	
00010	71.366194	14.034712	-199.184846	88.172975	25.611361	
00020	57.764485	12.568848	-202.741175	109.581731	22.826139	
00030	52.664992	12.036205	-206.227484	119.436738	22.089539	
00040	51.482275	11.959723	-209.641710	124.114347	22.085354	
00050	52.219414	12.101745	-212.981829	126.368988	22.291671	
00060	53.813552	12.430173	-216.245853	127.406102	22.596031	
00070	54.682692	12.837040	-219.411533	128.614924	23.276892	
00080	55.067213	13.221593	-222.496040	130.084535	24.122702	
00090	55.441413	13.553416	-225.497557	131.714042	24.788685	
00100	55.727344	13.800126	-228.414315	133.448233	25.438615	
00110	56.029993	13.997031	-231.244581	135.125926	26.091634	
00120	56.392023	14.196776	-233.986666	136.780489	26.617377	
00130	56.736863	14.400386	-236.615818	138.409341	27.069248	
00140	57.102958	14.587845	-239.152550	139.961845	27.499899	
00150	57.459369	14.761661	-241.595370	141.473770	27.900571	
00160	57.767170	14.922135	-243.942841	142.980430	28.273103	
00170	58.079522	15.070228	-246.193567	144.438753	28.605060	
00180	58.398434	15.211159	-248.346196	145.828068	28.908534	
00190	58.682122	15.348981	-250.374086	147.132241	29.210744	
00200	58.940888	15.481896	-252.300579	148.367447	29.510349	
00210	59.203252	15.604801	-254.124552	149.530439	29.786058	
00220	59.483551	15.720441	-255.844933	150.597419	30.043547	
00230	59.739418	15.829604	-257.460696	151.609245	30.282467	
00240	59.935724	15.929895	-258.970857	152.605151	30.500089	
00250	60.101274	16.022197	-260.347554	153.521901	30.702186	
00260	60.269949	16.107900	-261.616371	154.349053	30.889466	
00270	60.440338	16.188408	-262.776582	155.082967	31.064899	
00280	60.603073	16.265861	-263.827508	155.725340	31.233288	
00290	60.738059	16.337960	-264.768519	156.303377	31.389212	
00300	60.839330	16.401492	-265.599039	156.831110	31.527223	
00310	60.900793	16.453730	-266.290629	157.294294	31.641850	
00320	60.931379	16.496798	-266.870537	157.704582	31.737810	
00330	60.936119	16.533186	-267.338424	158.048190	31.820988	
00340	60.922359	16.564448	-267.694022	158.313621	31.893696	
00350	60.888987	16.589483	-267.937117	158.505211	31.953585	
00360	60.834994	16.607708	-268.067539	158.625300	31.999746	
00370	60.742604	16.616423	-268.057003	158.671508	32.026516	
00380	60.620508	16.617564	-267.933708	158.657402	32.038109	
00390	60.466610	16.610832	-267.697746	158.586178	32.034037	
00400	60.285424	16.596440	-267.349261	158.452182	32.015152	
00410	60.080863	16.575075	-266.888447	158.249723	31.982690	
00420	59.853092	16.547095	-266.315554	157.977983	31.937296	
00430	59.587037	16.509944	-265.603159	157.632530	31.873541	
00440	59.296972	16.466028	-264.779704	157.220194	31.796381	
00450	58.983956	16.415384	-263.845698	156.740411	31.705967	
