step	btrunk	carotid	inflow	outflow	subclavian	
00000	107371.209338	107370.729538	107366.209108	107367.057883	107368.802412	
00010	130024.300583	127670.105035	129663.342743	119868.019273	129336.422801	
00020	128358.889048	126932.659701	128979.711705	123831.910016	128207.642425	
00030	128634.333209	127340.010842	129514.634889	126391.216715	128620.939000	
00040	129846.204635	128317.521000	130593.221932	128318.381569	129587.821704	
00050	131576.589486	129593.739307	131776.145726	129948.385248	130736.292637	
00060	133598.339279	131140.244881	133220.209465	131417.228806	131965.366345	
00070	135486.026593	132868.287862	134985.679524	132913.485309	133526.281371	
00080	137252.510418	134618.690873	136762.758918	134460.998700	135286.552815	
00090	139004.977283	136357.290206	138505.417727	136046.691904	136972.165384	
00100	140734.343450	138013.513190	140191.482012	137667.060497	138682.333786	
00110	142470.327125	139626.963207	141850.326966	139298.715854	140454.361046	
00120	144230.447500	141265.933853	143536.140154	140944.603691	142165.731620	
00130	145990.038999	142934.914880	145265.044650	142604.775986	143843.431020	
00140	147753.546439	144604.516802	146972.560965	144270.575235	145534.658924	
00150	149514.173349	146273.645584	148692.472273	145945.990660	147227.990601	
00160	151265.943788	147941.445502	150387.552272	147634.997110	148919.469276	
00170	153023.480666	149606.434034	152076.193926	149331.504596	150598.937305	
00180	154784.231636	151272.883619	153787.535436	151031.269323	152271.479947	
00190	156533.662984	152946.854195	155496.542494	152730.101600	153955.733550	
00200	158272.508633	154624.928955	157204.330934	154428.833164	155651.773262	
00210	160011.637259	156298.576919	158900.666564	156125.801100	157342.570471	
00220	161756.854013	157969.582684	160592.820969	157816.191248	159029.700079	
00230	163494.878921	159638.019439	162284.000410	159504.539350	160711.250801	
00240	165211.053423	161298.639048	163976.439755	161194.491021	162382.001095	
00250	166912.345820	162952.001031	165647.109165	162875.905087	164046.392103	
00260	168609.269588	164598.658130	167308.034480	164548.289941	165703.509992	
00270	170301.930190	166239.214870	168963.573804	166208.641287	167353.895748	
00280	171986.510844	167875.787214	170615.829982	167854.924028	169000.640690	
00290	173656.108567	169504.757495	172256.628871	169489.317207	170638.816016	
00300	175306.871156	171119.833239	173889.849316	171112.629593	172261.694135	
00310	176937.475651	172716.522818	175495.424762	172722.630182	173864.420225	
00320	178548.634873	174295.744801	177077.490731	174319.359888	175448.456325	
00330	180139.736586	175859.385170	178639.638665	175899.936577	177016.850178	
00340	181711.551084	177408.679258	180188.427073	177461.839053	178570.643104	
00350	183263.059458	178941.181306	181718.116451	179004.310709	180106.950497	
00360	184792.477222	180454.343631	183242.186826	180526.020726	181623.014845	
00370	186295.140951	181944.224270	184724.271796	182025.682005	183114.409462	
00380	187771.634469	183411.999347	186181.351630	183504.149722	184582.655790	
00390	189219.447058	184855.683201	187611.545302	184960.484820	186025.906489	
00400	190638.752490	186274.462671	189014.488922	186393.193964	187443.575780	
00410	192029.428491	187668.030502	190389.629764	187800.423536	188835.403929	
00420	193389.774390	189035.205377	191753.605256	189180.784200	190200.061607	
00430	194715.771372	190372.366196	193068.651375	190532.848100	191533.417840	
00440	196009.704308	191681.335943	194353.408943	191856.354786	192837.746998	
00450	197270.836816	192961.110787	195606.905455	193150.138953	194112.074180	
00460	198498.284137	194210.728290	196828.232861	194413.072564	195355.428957	
00470	199691.086313	195429.423265	198015.811562	195644.088822	196567.099425	
00480	200847.571223	196615.771734	199186.335171	196842.103452	197745.569851	
00490	201964.250065	197766.296776	200302.499475	198005.731537	198886.871267	
00500	203043.486097	198882.863939	201382.822684	199134.797024	199993.350102	
00510	204084.479129	199964.576882	202426.467516	200228.342455	201064.138197	
00520	205086.391187	201010.600447	203432.620108	201285.454342	202098.450558	
00530	206048.424429	202020.166518	204400.041851	202305.240204	203095.547505	
00540	206969.222287	202992.008947	205343.760380	203286.708953	204054.102080	
00550	207845.679693	203922.976635	206229.549007	204228.640823	204970.526315	
00560	208680.126036	204814.906137	207074.852427	205130.978729	205847.172309	
00570	209471.575607	205667.121414	207902.428934	205993.018868	206683.452881	
00580	210220.678079	206479.479692	208645.687171	206814.362208	207479.077274	
00590	210925.415995	207250.053091	209360.630454	207593.231516	208232.529678	
00600	211585.046856	207978.487520	210050.414159	208329.423872	208943.093895	
00610	212196.962892	208661.996290	210680.466207	209021.963004	209607.694158	
00620	212763.480069	209302.316696	211266.300435	209670.843611	210228.523821	
00630	213284.184598	209898.844155	211807.442807	210275.445247	210805.076864	
00640	213758.636852	210451.079140	212303.437029	210835.174944	211336.903719	
