step	cap_aorta	cap_aorta_2	cap_top(2)	cap_top(3)	cap_top(4)	
00000	-0.001199	-0.000233	0.000373	0.000178	0.000263	
00010	-199.184866	94.015369	68.446706	22.971761	13.745650	
00020	-202.741200	112.949176	55.988683	21.342929	12.457752	
00030	-206.227508	119.563610	52.550453	21.657272	12.454434	
00040	-209.641731	122.956947	51.834811	22.215869	12.630057	
00050	-212.981849	125.310834	51.913149	22.867845	12.886601	
00060	-216.245880	127.396952	52.179393	23.515536	13.151464	
00070	-219.411552	129.362566	52.508536	24.132145	13.406306	
00080	-222.496058	131.250234	52.878583	24.715266	13.649803	
00090	-225.497577	133.065487	53.286015	25.262965	13.881630	
00100	-228.414337	134.809086	53.725933	25.775991	14.102208	
00110	-231.244603	136.486023	54.184653	26.259219	14.314226	
00120	-233.986684	138.102762	54.649453	26.716746	14.517133	
00130	-236.615846	139.649436	55.122322	27.139788	14.703400	
00140	-239.152574	141.111949	55.634533	27.531377	14.874252	
00150	-241.595397	142.494089	56.165593	27.900152	15.035130	
00160	-243.942867	143.845828	56.642078	28.263455	15.190567	
00170	-246.193587	145.216995	57.004600	28.629441	15.341671	
00180	-248.346226	146.596874	57.272678	28.985830	15.490362	
00190	-250.374112	147.937245	57.506284	29.303341	15.630528	
00200	-252.300600	149.205573	57.760016	29.581302	15.756594	
00210	-254.124573	150.378431	58.032864	29.845802	15.868088	
00220	-255.844954	151.440593	58.318548	30.105248	15.980890	
00230	-257.460715	152.415371	58.602030	30.342420	16.101249	
00240	-258.970888	153.349265	58.858410	30.548589	16.214879	
00250	-260.347578	154.214893	59.104727	30.725164	16.302976	
00260	-261.616395	154.964105	59.382064	30.892712	16.378386	
00270	-262.776607	155.609812	59.651261	31.063218	16.453264	
00280	-263.827531	156.184680	59.891891	31.228321	16.523553	
00290	-264.768539	156.689976	60.122450	31.375119	16.581820	
00300	-265.599064	157.138424	60.317327	31.510749	16.633308	
00310	-266.290658	157.569443	60.406560	31.636159	16.679039	
00320	-266.870561	158.011430	60.375860	31.758846	16.724804	
00330	-267.338445	158.449331	60.253798	31.870119	16.765536	
00340	-267.694042	158.834879	60.098812	31.962321	16.798528	
00350	-267.937136	159.136005	59.944389	32.033813	16.823422	
00360	-268.067557	159.320625	59.831749	32.078790	16.836725	
00370	-268.057026	159.377661	59.748070	32.096668	16.834681	
00380	-267.933732	159.334772	59.671767	32.102170	16.824978	
00390	-267.697767	159.204240	59.596780	32.092162	16.804569	
00400	-267.349278	158.988080	59.525914	32.063309	16.771973	
00410	-266.888465	158.694827	59.448635	32.015776	16.729178	
00420	-266.315584	158.327525	59.355703	31.951574	16.680687	
00430	-265.603185	157.876405	59.244251	31.861909	16.620443	
00440	-264.779727	157.333965	59.136908	31.755013	16.553661	
00450	-263.845723	156.698067	59.026159	31.638189	16.483252	
00460	-262.801731	155.999019	58.877900	31.515276	16.409749	
00470	-261.648361	155.266390	58.662293	31.387589	16.332608	
00480	-260.386276	154.498640	58.389550	31.249598	16.249479	
00490	-258.989549	153.675317	58.065766	31.093633	16.156122	
00500	-257.486207	152.812126	57.678567	30.932602	16.064246	
00510	-255.877167	151.932372	57.201940	30.768064	15.976075	
00520	-254.163377	151.034276	56.653543	30.592650	15.883954	
00530	-252.345839	150.088098	56.076999	30.401230	15.780593	
00540	-250.425636	149.068175	55.498147	30.194275	15.666065	
00550	-248.378977	147.953936	54.925451	29.964209	15.536263	
00560	-246.232771	146.754867	54.356417	29.721843	15.400440	
00570	-243.988304	145.489307	53.772531	29.468249	15.259258	
00580	-241.646912	144.155401	53.185809	29.198184	15.108946	
00590	-239.209979	142.737232	52.616585	28.909992	14.947888	
00600	-236.678928	141.236376	52.050100	28.612958	14.781245	
00610	-234.032731	139.676138	51.438850	28.310789	14.608511	
00620	-231.296508	138.083441	50.769405	28.010061	14.435013	
00630	-228.471888	136.458905	50.053283	27.702421	14.258569	
00640	-225.560547	134.784565	49.320958	27.378719	14.077562	
00650	-222.564208	133.045906	48.589727	27.037420	13.892449	
00660	-219.484641	131.244323	47.855297	26.682078	13.704076	
00670	-216.304062	129.383386	47.108824	26.308217	13.504719	
00680	-213.045192	127.465724	46.361079	25.922929	13.296364	
00690	-209.709969	125.492928	45.606987	25.530011	13.080867	
00700	-206.300373	123.470627	44.836847	25.132280	12.861467	
00710	-202.818419	121.406409	44.041987	24.730318	12.640533	
00720	-199.266156	119.306111	43.218829	24.322644	12.419397	
00730	-195.629517	117.171872	42.363008	23.902318	12.193137	
00740	-191.928242	115.006503	41.486110	23.473085	11.963347	
00750	-188.164540	112.807850	40.591541	23.036713	11.729230	
00760	-184.340642	110.572823	39.682878	22.595263	11.490483	
00770	-180.458805	108.298705	38.763587	22.150216	11.247167	
00780	-176.521320	105.984727	37.835246	21.701910	11.000285	
00790	-172.518162	103.632783	36.893964	21.244916	10.747226	
00800	-168.465625	101.249543	35.946038	20.779987	10.490797	
