step	cap_aorta	cap_aorta_2	cap_top(2)	cap_top(3)	cap_top(4)	
00000	0.000000	0.000000	0.000000	0.000000	0.000000	
00010	21181.679118	14198.067083	22673.325041	20760.195950	21060.224005	
00020	21533.651828	18881.309387	22076.939340	21292.266707	21472.210767	
00030	23570.239864	21932.529747	23681.460216	23395.256228	23543.527280	
00040	25872.962217	24580.468187	25948.431720	25737.459644	25868.988707	
00050	28324.464801	27106.907235	28409.795940	28189.601467	28318.452538	
00060	30823.160619	29614.917548	30910.838868	30680.881757	30807.099926	
00070	33328.202968	32123.008376	33422.737816	33187.094594	33309.563893	
00080	35837.296158	34635.506461	35942.478471	35702.897825	35821.711672	
00090	38350.278024	37151.731135	38470.466865	38223.178367	38340.612693	
00100	40862.497807	39670.348535	41007.317678	40744.883303	40864.525345	
00110	43395.879842	42190.727162	43550.689260	43268.706133	43394.178219	
00120	45928.562814	44712.320789	46097.373663	45794.483168	45928.158386	
00130	48457.845452	47232.878036	48648.946085	48313.977074	48455.239721	
00140	50976.426162	49748.801285	51214.650119	50825.575525	50973.576696	
00150	53511.022298	52258.812147	53790.785216	53333.109297	53486.504097	
00160	56044.224270	54768.629145	56356.467830	55848.761896	55999.308605	
00170	58568.045398	57285.305569	58890.516278	58379.378344	58512.990272	
00180	61078.944537	59807.925017	61392.389157	60914.419326	61028.084152	
00190	63551.662853	62329.532939	63878.256037	63429.743934	63537.387877	
00200	66036.088847	64844.500445	66363.134619	65920.469096	66031.778720	
00210	68529.689760	67347.882022	68846.435874	68404.217861	68506.704408	
00220	71024.915603	69835.410517	71326.032878	70887.851135	70980.989756	
00230	73518.290165	72308.222226	73796.863447	73356.586155	73465.272082	
00240	76012.733624	74771.860969	76247.249877	75799.380695	75940.817063	
00250	78468.439190	77222.290594	78680.314868	78215.212165	78381.250293	
00260	80896.406111	79650.766104	81113.407905	80618.031064	80798.195441	
00270	83306.372025	82056.726125	83539.022070	83018.004332	83206.553849	
00280	85695.436352	84443.333633	85947.352434	85409.594007	85601.893293	
00290	88058.678652	86809.678748	88344.821120	87781.426056	87973.337886	
00300	90411.691028	89156.242944	90726.176376	90135.917810	90324.026126	
00310	92741.927609	91488.173709	93065.671703	92474.744935	92655.820699	
00320	95062.122577	93809.580587	95346.710305	94802.544506	94975.600274	
00330	97362.080773	96118.749156	97571.024316	97111.873613	97276.912074	
00340	99633.621631	98408.496746	99755.158404	99395.211758	99554.823406	
00350	101876.338503	100673.023121	101922.707228	101650.484192	101808.121588	
00360	104092.842909	102906.083360	104093.958883	103869.713970	104029.142128	
00370	106264.777863	105104.011781	106254.148353	106051.245475	106212.155983	
00380	108408.117708	107268.669187	108383.986789	108204.913566	108365.353170	
00390	110517.841425	109400.407780	110485.734332	110327.534130	110483.534116	
00400	112591.209483	111498.045379	112569.155298	112414.931837	112562.677602	
00410	114629.373183	113561.686892	114632.580020	114465.580335	114603.430167	
00420	116641.190133	115590.515917	116668.385885	116478.342135	116609.039169	
00430	118601.254897	117581.554551	118674.467625	118446.649462	118572.351098	
00440	120521.193156	119532.806899	120656.837256	120374.529662	120498.233193	
00450	122404.508967	121441.985462	122613.977011	122266.627741	122389.933722	
00460	124253.440690	123312.285086	124536.079728	124125.530946	124248.131115	
00470	126069.561796	125147.626505	126415.351071	125952.155098	126072.007621	
00480	127855.016098	126947.387247	128254.880024	127740.710262	127856.626513	
00490	129589.022143	128708.082187	130055.214581	129485.484048	129596.454336	
00500	131292.010908	130431.091805	131808.139750	131195.522630	131305.734331	
00510	132967.345911	132119.601198	133500.309968	132872.178827	132988.331677	
00520	134607.991087	133773.602139	135126.312873	134509.498884	134635.018336	
00530	136206.248981	135388.596761	136690.489021	136102.153265	136234.911159	
00540	137763.823307	136960.038163	138205.703798	137648.161918	137785.177407	
00550	139258.222684	138483.948934	139686.847539	139141.703716	139279.972828	
00560	140705.854127	139960.036677	141132.566879	140589.567269	140729.496690	
00570	142106.693867	141389.809920	142532.771515	141992.146654	142134.264669	
00580	143454.711141	142772.214459	143889.413050	143344.493226	143488.395339	
00590	144748.567990	144103.897611	145207.792490	144643.758499	144787.913725	
00600	146001.189611	145383.707507	146484.843677	145894.992868	146037.274460	
00610	147201.800077	146614.155348	147711.096806	147102.526886	147237.027182	
00620	148362.267125	147798.584503	148881.143452	148271.730748	148394.016023	
00630	149476.214151	148937.002106	149993.067226	149396.331923	149505.410713	
00640	150537.330193	150026.538225	151051.924287	150468.292633	150568.342225	
00650	151546.714533	151064.369406	152062.695551	151484.917066	151582.704788	
00660	152509.619225	152049.798971	153023.318750	152446.914753	152548.615809	
00670	153409.540420	152982.812591	153933.395957	153351.109123	153456.794507	
00680	154256.704318	153863.027460	154797.994601	154201.764786	154308.031204	
00690	155051.167793	154689.989047	155616.475745	155001.297457	155103.499899	
00700	155794.482763	155463.890233	156385.226434	155751.733343	155846.771971	
00710	156488.039864	156185.348524	157100.276523	156453.726793	156540.954505	
00720	157136.460815	156854.874359	157759.159856	157105.467478	157187.361595	
00730	157725.561282	157472.709616	158360.562982	157702.246411	157780.773480	
00740	158262.490815	158039.006282	158906.592196	158246.006300	158322.722253	
00750	158746.515439	158553.282733	159397.497895	158737.570846	158811.830054	
00760	159177.128426	159014.887107	159833.749388	159178.276759	159247.258102	
00770	159555.446136	159423.162609	160216.045836	159569.409220	159628.668578	
00780	159882.926799	159777.680951	160544.550605	159910.946063	159956.425086	
00790	160149.267355	160078.525414	160818.853300	160199.543183	160227.592379	
00800	160363.510503	160326.356420	161040.472160	160435.258859	160445.228995	
00810	160525.214408	160521.523972	161209.740525	160616.035423	160609.272488	
00820	160635.581809	160664.098400	161327.338276	160740.687961	160719.633018	
00830	160695.926049	160754.262355	161392.892163	160809.746811	160777.526610	
00840	160707.982259	160792.199761	161405.728123	160823.636849	160784.320785	
00850	160663.866040	160777.546623	161367.015145	160781.030765	160737.892302	
00860	160569.426398	160709.958089	161279.655638	160684.272389	160640.041742	
00870	160425.289480	160589.432441	161144.251688	160535.018573	160490.027098	
00880	160230.011039	160416.148454	160961.703558	160334.356823	160286.106033	
00890	159981.662488	160189.834726	160733.925568	160083.078936	160027.890841	
00900	159681.771683	159910.082431	160462.586042	159782.056985	159717.523061	
00910	159328.973906	159577.297356	160146.913884	159432.061371	159358.163947	
