step	cap_aorta	cap_aorta_2	cap_bct	cap_left_carotid	cap_left_subclavian	
00000	-0.000346	-0.000378	-0.000125	0.000023	0.000092	
00010	10.361364	-3.665390	-4.147597	-0.969954	-1.531089	
00020	16.359625	-6.905908	-5.879854	-1.347511	-2.178049	
00030	22.761499	-10.476010	-7.607137	-1.746144	-2.885047	
00040	29.554932	-14.313530	-9.401173	-2.172772	-3.650907	
00050	36.725416	-18.374375	-11.272658	-2.620763	-4.464967	
00060	44.256017	-22.603175	-13.227141	-3.080546	-5.324753	
00070	52.202694	-26.952728	-15.350823	-3.604638	-6.275160	
00080	60.450560	-31.365278	-17.613647	-4.162438	-7.280152	
00090	68.972780	-35.781968	-20.054217	-4.780371	-8.350438	
00100	77.740688	-40.150213	-22.669263	-5.434175	-9.483454	
00110	86.723888	-44.506334	-25.446778	-6.120865	-10.647099	
00120	95.890372	-48.935583	-28.310551	-6.814700	-11.827392	
00130	105.229251	-53.482871	-31.181859	-7.525154	-13.037601	
00140	114.658562	-58.074065	-34.056367	-8.260366	-14.266429	
00150	124.141571	-62.655289	-36.962787	-8.995575	-15.526952	
00160	133.641102	-67.221730	-39.882142	-9.731787	-16.804600	
00170	143.119716	-71.751399	-42.789611	-10.470544	-18.107570	
00180	152.539875	-76.307340	-45.625872	-11.205500	-19.400793	
00190	161.824941	-81.025846	-48.265981	-11.886012	-20.647112	
00200	170.953431	-85.707408	-50.773623	-12.554622	-21.917659	
00210	179.890259	-90.060770	-53.398551	-13.263439	-23.167110	
00220	188.601505	-94.402519	-55.917257	-13.917453	-24.364249	
00230	197.054555	-98.578344	-58.363822	-14.578825	-25.533546	
00240	205.218242	-102.629302	-60.656671	-15.215007	-26.717303	
00250	212.972497	-106.609771	-62.743057	-15.801912	-27.817959	
00260	220.364890	-110.317004	-64.793244	-16.377757	-28.877045	
00270	227.372826	-113.951599	-66.622147	-16.904269	-29.894978	
00280	233.975983	-117.378843	-68.334110	-17.409970	-30.853260	
00290	240.156371	-120.681563	-69.862576	-17.864844	-31.747485	
00300	245.898393	-123.758940	-71.260624	-18.298689	-32.580524	
00310	251.072566	-126.671950	-72.414355	-18.661633	-33.323376	
00320	255.781549	-129.390102	-73.404178	-18.987893	-34.000661	
00330	260.020909	-131.933631	-74.216480	-19.268689	-34.604428	
00340	263.788676	-134.293661	-74.855863	-19.506310	-35.136533	
00350	267.085292	-136.471742	-75.310501	-19.701383	-35.597629	
00360	269.913558	-138.473448	-75.597392	-19.859586	-35.994267	
00370	272.166758	-140.250047	-75.657272	-19.949592	-36.282893	
00380	273.972445	-141.872337	-75.585196	-20.032037	-36.527480	
00390	275.342947	-143.312730	-75.368662	-20.010356	-36.698720	
00400	276.292368	-144.484206	-74.843104	-20.005938	-36.710144	
00410	276.836448	-145.868524	-74.814210	-19.808923	-37.079257	
00420	276.992427	-145.819590	-72.568589	-19.614125	-36.168033	
00430	276.695372	-147.208683	-72.653704	-19.206867	-36.730244	
00440	276.063608	-146.936374	-70.734810	-19.254206	-35.807824	
00450	275.119139	-147.925331	-70.371170	-18.600096	-36.212161	
00460	273.884516	-147.097304	-68.049114	-18.405362	-34.941937	
00470	272.382692	-148.085317	-67.968709	-18.224235	-35.456423	
00480	270.636889	-146.898261	-65.467008	-17.721068	-33.975261	
00490	268.624892	-147.592637	-65.678410	-17.791298	-34.550155	
00500	266.430477	-147.076475	-63.120952	-16.700646	-33.463481	
00510	264.075911	-147.752889	-65.390386	-19.419985	-34.807474	
00520	261.582747	-146.970373	-61.089127	-16.920064	-33.633333	
00530	258.971754	-147.474182	-62.579048	-17.727990	-34.367143	
00540	256.262832	-144.750788	-58.805624	-15.501577	-31.568395	
00550	253.462011	-145.543389	-58.638419	-17.730742	-32.808768	
00560	250.609657	-145.135261	-59.431709	-17.995953	-32.980355	
00570	247.720209	-142.880296	-55.637875	-15.534415	-30.962870	
00580	244.806672	-142.652160	-53.209630	-13.978000	-30.853562	
00590	241.880572	-141.316118	-52.181082	-13.710488	-30.319471	
00600	238.951918	-140.371034	-54.493974	-15.822247	-30.259458	
00610	236.032783	-139.636490	-50.102899	-13.594825	-29.496334	
00620	233.128237	-138.899598	-49.037259	-13.451854	-29.644794	
00630	230.241177	-136.750417	-49.397519	-13.259151	-28.576901	
00640	227.372917	-136.009684	-47.699409	-12.953385	-28.396210	
00650	224.523251	-135.845332	-45.439395	-12.365007	-28.050860	
00660	221.690520	-134.013313	-45.218306	-12.410257	-27.348640	
00670	218.872707	-131.990625	-45.786388	-12.281911	-26.721321	
00680	216.059270	-131.020881	-45.127547	-12.578223	-26.868878	
00690	213.242827	-131.854419	-46.817668	-14.976416	-27.243519	
00700	210.415013	-130.139817	-45.617456	-14.754531	-26.846607	
00710	207.566560	-126.694994	-41.998890	-11.553936	-24.590588	
00720	204.687372	-126.802661	-46.363790	-14.541885	-26.219394	
00730	201.751366	-124.375534	-40.920157	-12.745949	-24.073613	
00740	198.754313	-123.734201	-39.080008	-12.739619	-24.091642	
00750	195.684148	-121.479432	-41.393656	-13.513541	-23.831507	
00760	192.528772	-119.214157	-41.136162	-13.314440	-22.986673	
00770	189.276156	-118.639089	-38.137610	-12.418746	-22.970233	
00780	185.914436	-116.675535	-34.358585	-11.301583	-21.243498	
00790	182.397472	-115.043616	-35.190137	-11.847155	-21.410692	
00800	178.742357	-112.205030	-33.990772	-10.957552	-20.376332	
00810	174.939733	-109.246873	-33.128537	-11.416614	-18.973177	
00820	170.981158	-108.221504	-33.655728	-10.881594	-19.622649	
00830	166.859181	-105.942412	-28.790251	-9.688006	-17.795993	
00840	162.567420	-106.009990	-31.394661	-11.138278	-19.719896	
00850	158.055782	-101.148725	-27.187996	-8.536215	-16.765814	
00860	153.364765	-100.480090	-30.049376	-10.999680	-18.190388	
00870	148.493866	-95.496559	-23.089529	-5.113788	-14.389984	
00880	143.444036	-93.243408	-21.109119	-7.216261	-14.236272	
00890	138.217711	-92.428146	-19.468696	-6.618350	-14.296122	
00900	132.818840	-89.349882	-18.530613	-6.958650	-13.881732	
00910	127.214627	-87.363311	-20.630617	-7.328475	-14.400831	
00920	121.457393	-83.191115	-16.991014	-5.037122	-12.854307	
00930	115.557744	-80.652454	-18.443845	-5.901786	-12.767436	
00940	109.527658	-77.590022	-17.719952	-7.070427	-12.697522	
00950	103.380427	-73.194726	-12.741191	-3.922098	-10.315210	
00960	97.130609	-71.893095	-14.220479	-5.288258	-11.083447	
00970	90.779690	-68.543341	-12.151997	-4.214417	-10.303956	
00980	84.371577	-63.469156	-8.223389	-2.776287	-7.674700	
00990	77.925291	-60.676654	-9.353111	-4.032323	-8.491343	
01000	71.460499	-55.322587	-6.051462	-1.975808	-5.971014	
01010	64.997417	-51.775009	-4.625484	-1.619381	-6.163762	
01020	58.556715	-45.485815	0.340900	0.336000	-3.075177	
01030	52.179070	-42.507796	-1.238124	-1.207790	-3.557891	
01040	45.880018	-37.388215	1.721275	-0.378598	-1.652862	
01050	39.680420	-36.134072	-1.756239	-1.710653	-3.854904	
01060	33.600760	-31.048479	2.021716	-0.253124	-2.532092	
01070	27.661049	-29.536416	-1.822398	-2.905943	-4.055893	
01080	21.880728	-23.810515	2.481099	-0.965804	-1.834437	
01090	16.330134	-19.636803	3.762598	0.280103	-1.103351	
01100	10.985845	-16.785980	2.366352	-1.981811	-1.840027	
01110	5.863114	-11.616638	5.977082	-0.024745	0.324801	
01120	0.975967	-7.466583	7.234649	1.776810	1.600444	
01130	-3.662854	-5.920774	4.833544	0.454590	0.302885	
01140	-8.041950	-1.379187	8.511996	1.789059	1.660445	
01150	-12.080961	1.443234	7.771141	0.731438	1.527293	
01160	-15.838544	4.113435	7.360767	0.312775	1.642929	
01170	-19.309971	7.013644	7.878890	0.454007	2.026965	
01180	-22.492052	9.417498	7.892180	0.627744	2.286837	
01190	-25.383124	12.038536	8.713695	1.238030	3.038486	
01200	-27.983043	15.001561	10.124136	2.757080	4.310942	
01210	-30.222490	14.742807	6.883896	1.249291	2.826163	
01220	-32.179161	18.185632	10.547993	2.988275	4.827271	
01230	-33.859252	19.687892	11.217427	3.102355	5.172562	
01240	-35.270187	19.176334	8.611308	1.144479	3.485702	
01250	-36.420558	20.568921	9.369676	2.465945	4.226989	
01260	-37.320062	20.913276	9.000804	1.466615	4.028518	
01270	-37.924582	21.112585	8.672008	1.487990	3.859184	
01280	-38.309654	21.571430	8.401059	2.037664	4.213716	
01290	-38.488716	21.860576	8.599688	1.591474	3.998268	
01300	-38.475731	22.397636	9.639491	2.708326	4.650287	
01310	-38.285115	22.111077	8.651376	1.323850	4.062882	
01320	-37.931666	22.298085	9.724044	2.513355	4.466757	
01330	-37.399909	22.854735	9.986191	2.874621	5.168276	
01340	-36.745855	22.091507	9.209422	2.446785	4.378796	
01350	-35.984686	21.149722	7.428139	1.418052	3.604194	
01360	-35.131392	20.286812	6.159501	1.335934	3.348357	
01370	-34.200718	20.288573	7.038029	1.480227	3.446686	
01380	-33.207114	19.732363	6.127484	1.686014	3.453805	
01390	-32.157898	19.443068	6.305343	1.384520	3.272997	
01400	-31.081620	19.370130	6.845665	2.349584	3.891083	
01410	-29.990479	18.508779	6.784744	2.057523	3.520759	
01420	-28.896015	18.843993	7.823852	2.971523	4.423583	
01430	-27.809095	17.691437	7.137003	2.463933	3.686125	
01440	-26.739881	17.443049	7.362554	2.448230	4.072586	
01450	-25.707875	16.225045	6.691881	2.216788	3.403424	
01460	-24.716147	16.173781	6.928032	2.347732	3.856645	
01470	-23.771404	14.840648	5.732016	1.850439	2.926192	
01480	-22.879558	15.113841	6.730038	2.206035	3.650226	
01490	-22.045735	14.234955	6.238688	2.224102	3.060422	
01500	-21.274276	14.183211	6.338137	2.199232	3.464945	
01510	-20.586086	13.027843	5.199589	1.783223	2.675823	
01520	-19.967268	13.323684	6.093408	2.064318	3.364323	
01530	-19.418826	12.495737	5.664658	1.974169	2.775056	
01540	-18.941083	12.578317	5.995110	2.049088	3.267396	
01550	-18.533715	11.702301	5.262031	1.868755	2.635762	
01560	-18.195764	11.952933	5.727233	1.807359	3.113345	
01570	-17.941538	11.396201	5.478921	1.912190	2.676363	
01580	-17.750797	11.624121	5.741214	1.894214	3.090666	
01590	-17.620214	10.955543	5.080097	1.734856	2.516886	
01600	-17.546050	11.497176	5.710763	1.870719	3.070848	
01610	-17.524188	11.029036	5.368882	1.866497	2.577627	
01620	-17.550159	11.454461	5.712650	1.853925	3.008569	
01630	-17.627760	11.060448	5.327437	1.847524	2.527051	
01640	-17.739698	11.538481	5.722940	1.820421	2.967347	
01650	-17.880513	11.209260	5.357177	1.827712	2.509065	
01660	-18.044661	11.638520	5.641792	1.759813	2.906017	
01670	-18.226540	11.361226	5.314608	1.793117	2.492619	
