step	cap_aorta	cap_aorta_2	cap_bct	cap_left_carotid	cap_left_subclavian	
00000	0.000000	0.000000	0.000000	0.000000	0.000000	
00010	-1863.246064	-540.024391	-1267.770667	-1395.269096	-1309.141154	
00020	-2621.002113	-1089.627794	-1988.213631	-2086.401109	-1983.801938	
00030	-3477.727605	-1747.982713	-2789.257669	-2874.324286	-2767.580638	
00040	-4582.382615	-2512.635119	-3690.744677	-3762.201807	-3660.029535	
00050	-5820.374369	-3379.930883	-4702.701615	-4753.862054	-4662.196963	
00060	-6681.269300	-4345.432397	-5834.836322	-5859.479529	-5785.300066	
00070	-8039.213167	-5404.393715	-7105.756582	-7123.401925	-7054.288713	
00080	-9414.356325	-6550.071565	-8519.638062	-8530.328407	-8455.401993	
00090	-11200.904172	-7773.526658	-10090.771522	-10108.975351	-9995.683694	
00100	-13044.501804	-9066.954953	-11830.891618	-11849.775946	-11685.214646	
00110	-15035.424762	-10433.338512	-13744.302757	-13752.085661	-13501.511310	
00120	-17151.967034	-11884.926312	-15816.411100	-15786.037019	-15433.927241	
00130	-19434.743723	-13429.540226	-18023.526161	-17959.005861	-17492.554813	
00140	-21871.968013	-15058.103813	-20362.754569	-20289.992911	-19670.143629	
00150	-24454.159025	-16762.084969	-22843.366522	-22745.444641	-21979.816931	
00160	-27163.439883	-18539.828014	-25460.111232	-25325.687483	-24411.540371	
00170	-29985.885849	-20386.962805	-28205.106906	-28031.929578	-26972.585782	
00180	-32911.459938	-22310.785200	-31057.526644	-30854.995778	-29635.076655	
00190	-35922.110129	-24333.153827	-33974.550508	-33715.467745	-32361.319404	
00200	-39040.689559	-26428.543650	-36960.174169	-36660.323532	-35209.209523	
00210	-42293.089550	-28546.982551	-40088.362368	-39776.987179	-38144.876681	
00220	-45575.572321	-30729.633963	-43298.450807	-42923.269570	-41131.781036	
00230	-48981.678046	-32955.141176	-46586.574158	-46177.099597	-44186.827349	
00240	-52464.255820	-35221.466183	-49927.468737	-49493.381976	-47341.731888	
00250	-55886.398375	-37539.295896	-53290.884719	-52823.809410	-50516.486489	
00260	-59493.426043	-39871.989313	-56725.837061	-56225.286633	-53733.450020	
00270	-62944.968070	-42245.872614	-60167.843603	-59628.349822	-56991.892563	
00280	-66575.270805	-44638.025228	-63637.344232	-63071.986487	-60268.576351	
00290	-70055.674621	-47057.022147	-67106.433181	-66498.899553	-63552.662781	
00300	-73672.796320	-49483.371079	-70579.517418	-69943.672805	-66835.010423	
00310	-77128.550307	-51923.556721	-74018.455689	-73326.732540	-70090.130860	
00320	-80601.117671	-54368.778975	-77435.343468	-76690.627293	-73329.054649	
00330	-83993.787754	-56818.447810	-80816.126314	-80010.898500	-76538.431626	
00340	-87336.708974	-59266.762220	-84153.866784	-83284.310458	-79711.761662	
00350	-90595.730365	-61711.161703	-87434.619560	-86502.660536	-82843.434305	
00360	-93849.856101	-64147.441791	-90651.414777	-89662.160559	-85925.617612	
00370	-96932.739611	-66566.887638	-93785.522946	-92713.598258	-88924.688744	
00380	-99980.271412	-68973.594275	-96847.106473	-95725.168970	-91872.285872	
00390	-102856.463140	-71363.584222	-99838.297763	-98601.583980	-94765.029682	
00400	-105689.574662	-73717.983649	-102693.737886	-101359.629874	-97496.708354	
00410	-108913.037203	-76101.160500	-105613.273660	-104028.382300	-100498.436268	
00420	-110813.227092	-78283.956863	-107918.749976	-106119.407129	-102464.546270	
00430	-113086.912027	-80662.017178	-110800.163897	-108992.405251	-105632.940895	
00440	-115412.190475	-82792.946391	-113009.404597	-110997.238523	-107448.126937	
00450	-117116.909353	-85095.316613	-115643.313226	-113523.658144	-110423.847716	
00460	-118562.648125	-87141.257916	-117658.581818	-115223.398105	-111970.112546	
00470	-120177.268629	-89385.905049	-120168.038506	-118210.512230	-114811.637918	
00480	-121888.652278	-91342.680998	-121956.861052	-119276.600335	-116110.617195	
00490	-123503.125235	-93486.828602	-124382.707778	-122458.361710	-118782.832376	
00500	-124189.437485	-95500.560461	-125996.921595	-122788.717868	-120383.232204	
00510	-134043.384009	-97482.473502	-128211.868475	-127018.484554	-122673.891148	
00520	-128198.718725	-99494.592482	-129714.919089	-127865.796744	-124714.693705	
00530	-136333.027296	-101476.533615	-131666.485342	-129529.064486	-126919.142669	
00540	-130686.849146	-103121.050648	-133066.315734	-129461.416300	-127347.435539	
00550	-139312.449928	-105035.370563	-134342.480374	-132588.359901	-129454.938785	
00560	-140021.109215	-106857.234694	-136289.413842	-135403.850906	-131472.636196	
00570	-135343.738216	-108492.197092	-137564.216588	-135535.416482	-132412.663244	
00580	-136988.367894	-110312.773204	-138657.494586	-135296.518616	-134340.223076	
00590	-138679.990664	-111920.667852	-139915.459272	-136499.303168	-135674.487668	
00600	-142316.693612	-113423.774953	-141699.319716	-140082.435418	-136615.971918	
00610	-140758.840331	-115113.017690	-142274.198549	-139266.519881	-138161.311430	
00620	-145901.743895	-116657.341490	-142934.777886	-139237.025245	-139513.892514	
00630	-146609.903724	-117986.298055	-144371.496606	-140443.225408	-140121.927546	
00640	-147598.476201	-119477.097702	-145172.534175	-141223.247949	-141432.349939	
00650	-147266.895026	-121068.870446	-145748.695839	-141927.201968	-142665.676629	
00660	-148306.270606	-122360.283447	-146772.077371	-143211.332846	-143484.665037	
00670	-150105.878820	-123545.601252	-147939.247041	-143825.886745	-144108.284568	
00680	-151872.181835	-124847.538499	-148741.547197	-145027.174528	-145395.087225	
00690	-153870.012782	-126321.124498	-149850.601025	-148657.517821	-146277.238040	
00700	-154783.536668	-127498.770821	-150386.986013	-149109.441193	-147163.509693	
00710	-148759.812273	-128481.114604	-150940.077741	-147817.714604	-147280.262832	
00720	-155791.144867	-129640.660783	-152383.883513	-150972.901271	-148655.004528	
00730	-155856.347226	-130624.332298	-151847.283481	-148749.762203	-148238.280509	
00740	-156847.053128	-131802.351407	-151963.761680	-149347.724882	-149203.662817	
00750	-158711.354403	-132653.028368	-153192.180426	-150989.744676	-149709.922921	
00760	-157088.713914	-133486.139629	-153842.039669	-151941.028323	-149844.978903	
00770	-158175.768307	-134523.526806	-153689.001567	-150921.905502	-150713.929894	
00780	-156272.373837	-135401.560163	-153298.578615	-150612.036923	-150382.521800	
00790	-158728.530084	-136162.808692	-153727.702565	-151330.609474	-150871.724795	
00800	-157468.588443	-136804.487517	-154003.859925	-150933.250322	-150954.265060	
00810	-156165.615196	-137319.588570	-154084.195693	-152130.499971	-150325.660401	
00820	-157586.904801	-138068.138551	-154707.402758	-151935.728093	-151368.655746	
00830	-154640.393782	-138663.784682	-153846.037699	-151377.447356	-150699.248472	
00840	-159482.643268	-139405.202763	-154271.495558	-152462.908651	-152006.510025	
00850	-155148.960192	-139584.414848	-153608.782080	-149608.159655	-150596.695602	
00860	-159528.935013	-140088.360618	-154066.351944	-152493.887848	-151318.506978	
00870	-149563.316193	-140299.840295	-153202.557875	-147158.778471	-150161.815129	
00880	-151860.931159	-140526.662704	-152300.148532	-148849.421597	-149694.022787	
00890	-152015.982903	-140970.687382	-151620.872456	-147878.385519	-149725.268125	
00900	-152608.326429	-141032.084540	-150856.711241	-147620.795153	-149282.831814	
00910	-151823.056240	-141182.965420	-151157.719777	-149165.349633	-149559.286797	
00920	-148903.527447	-141086.220604	-150212.182644	-146781.162880	-148896.692636	
00930	-150140.133908	-141005.711152	-149831.279037	-146663.902509	-148360.007966	
